Immortals Fenyx Rising,Ação e aventura,Ubisoft Quebec,Ubisoft,3 de dezembro de 2020,3 de dezembro de 2020,3 de dezembro de 2020,3 de dezembro de 2020,[7][8]
The Lord of the Rings: Gollum,Ação e aventura,Daedalic Entertainment,Daedalic Entertainment,25 de maio de 2023,25 de maio de 2023,25 de maio de 2023,25 de maio de 2023,[9]
Madden NFL 21,Esporte,EA Tiburon,Electronic Arts,—,4 de dezembro de 2020,—,—,Nao Encontrado
Madden NFL 22,Esporte,EA Tiburon,Electronic Arts,—,20 de agosto de 2021,—,—,Nao Encontrado
Madden NFL 23,Esporte,EA Tiburon,Electronic Arts,—,19 de agosto de 2022,—,—,Nao Encontrado
Madden NFL 24,Esporte,EA Tiburon,Electronic Arts,—,18 de agosto de 2023,—,—,Nao Encontrado
Marvel's Avengers,Ação e aventura,Crystal Dynamics,Square Enix,18 de março de 2021,18 de março de 2021,18 de março de 2021,18 de março de 2021,Nao Encontrado
The Medium,Terror psicológico,Bloober Team,Bloober Team,28 de janeiro de 2021,28 de janeiro de 2021,28 de janeiro de 2021,28 de janeiro de 2021,[3]
Microsoft Flight Simulator,Simulação de vôo amador,Asobo Studio,Xbox Game Studios,27 de julho de 2021,27 de julho de 2021,27 de julho de 2021,27 de julho de 2021,Nao Encontrado
MLB The Show 21,Esporte,San Diego Studio,"MLB Advanced Media, Cokem International",20 de abril de 2021,20 de abril de 2021,20 de abril de 2021,—,Nao Encontrado
MLB The Show 22,Esporte,San Diego Studio,"MLB Advanced Media, Cokem International",5 de abril de 2022,5 de abril de 2022,5 de abril de 2022,—,Nao Encontrado
MLB The Show 23,Esporte,San Diego Studio,"MLB Advanced Media, Cokem International",28 de março de 2023,28 de março de 2023,28 de março de 2023,—,Nao Encontrado
Mortal Kombat 1,Luta,NetherRealm Studios,Warner Bros. Games,—,19 de setembro de 2023,19 de setembro de 2023,19 de setembro de 2023,Nao Encontrado
Mortal Kombat 11,Luta,NetherRealm Studios,Warner Bros. Games,—,17 de novembro de 2020,19 de novembro de 2020,17 de novembro de 2020,Nao Encontrado
